date,ormas_mentioned,sentiment,headline
2023-05-19,Ormas Saja,Negative,rudi boy abang jago malak sopir bogor tangkap polisi
2024-11-04,Ormas Saja,Neutral,video istana massa aksi 411 zikir kawasan patung kuda
2025-03-24,Ormas Saja,Negative,polda metro 4 wilayah rawan kriminalitas jaksel-depok
2025-03-24,Ormas Saja,Negative,pungli korupsi hambat investasi bamsoet sorot solusi
2022-05-20,Ormas Saja,Neutral,lpoi imbau masyarakat turun jalan
2025-01-19,Pemuda Pancasila (PP),Neutral,tokoh senior ppp mudrick sangidu dongakke ya le
2025-01-19,Pemuda Pancasila (PP),Negative,kabar duka tokoh senior ppp mudrick sangidu tinggal dunia
2024-12-10,Ormas Saja,Neutral,wamenag bicara peran tokoh agama jaga pasca pilkada 2024
2025-01-17,MKGR,Neutral,bahlil golkar kta gibran besok lihat hut mkgr
2025-01-14,Ormas Saja,Negative,ricuh karangjati blora 1 mobil 3 motor rusak
2023-05-18,Ormas Saja,Negative,aksi pria baju ormas palak sopir ujung buru polisi
2024-12-12,Ormas Saja,Negative,ombudsman temu surat sakti nyogok masuk sekolah negeri
2025-03-12,Nahdlatul Ulama (NU),Neutral,info acara khatam al-qur an nuzulul quran 2025 istiqlal
2024-09-21,Nahdlatul Ulama (NU),Neutral,manuver danny sudirman rebut dukung tokoh agama pilgub sulsel
2022-05-20,Ormas Islam,Neutral,kpk-perwakilan ormas islam bahas bahaya korupsi
2025-01-10,Ormas Saja,Neutral,walkot eri teman camat asemrowo lapor polda jatim
2024-10-29,Ormas Saja,Neutral,jokowi bilang serah projo saran prabowo wacana parpol
2025-02-12,Ormas Saja,Neutral,sidang isbat ramadan syawal zulhijjah alas
2023-06-21,Ormas Islam,Neutral,kemenag fasilitas temu ponpes al-zaytun ormas islam
2024-08-11,Ormas Saja,Neutral,klhk kunci selesai tambang ilegal
2025-03-18,Ormas Saja,Negative,dprd bandung geram hibur malam buka ramadan
2025-03-17,Ormas Saja,Negative,massa demo desak anggota dprd klaten tuding asusila copot
2023-05-17,Ormas Saja,Negative,viral pria seragam ormas palak sopir bogor
2024-11-27,Ormas Saja,Neutral,ketua timses rido pantau quick count optimistis 1 putar
2024-09-17,Pemuda Pancasila (PP),Positive,kelola tambang pp muhammadiyah underestimate
2024-09-17,Muhammadiyah,Positive,haedar nashir muhammadiyah konsesi tambang underestimate
2022-05-01,Ormas Saja,Neutral,momen menhan hadir munggah akbar
2025-02-28,Nahdlatul Ulama (NU),Neutral,jadwal resmi puasa ramadan 2025 perintah nu muhammadiyah
2025-02-28,Ormas Saja,Neutral,hasil sidang isbat 1 ramadhan 1446 h puasa 1 maret 2025
2025-02-28,Ormas Saja,Neutral,perintah 1 ramadan 1446 h jatuh 1 maret 2025
2025-01-01,Ormas Saja,Negative,jokowi bukti nama masuk tokoh korup versi occrp
2024-07-28,Pemuda Pancasila (PP),Positive,pp muhammadiyah resmi kelola tambang
2025-02-14,Ormas Saja,Neutral,surya paloh bawa kado hut gerindra besok
2024-08-27,Muhammadiyah,Neutral,muhammadiyah 3 tantang kelola tambang bekas
2023-04-16,Ormas Saja,Negative,walkot bobby bubar konvoi sotr ormas medan
2025-02-22,Ormas Saja,Positive,wagub emil dardak tancap gas tangan pendidikan-infrastruktur
2024-08-19,Nahdlatul Ulama (NU),Neutral,bahlil izin tambang pbnu rampung muhammadiyah susul
2024-11-27,Pemuda Pancasila (PP),Neutral,daftar ppih arab saudi 2025 tingkat pusat syarat formasi jadwal
2022-04-23,Front Pembela Islam (FPI),Negative,barang bukti konten hoax polisi dihadang fpi
2024-07-31,Pemuda Pancasila (PP),Negative,satpol pp kafe bogor digeruduk dress code-nya bikini
2025-01-22,Ormas Saja,Negative,pakar ugm kampus kelola tambang revisi uu minerba picu prahara
2025-02-13,Ormas Saja,Neutral,masyarakat masuk revisi uu haji umrah
2024-09-09,Ormas Saja,Neutral,bikin parpol anies baswedan
2024-11-06,Ormas Saja,Neutral,pks kim plus solid menang rk-suswono jakarta
2024-08-31,Ormas Saja,Negative,parpol anies bikin hoax rekening daftar edar duluan
2024-10-03,Muhammadiyah,Positive,syaikhu ajak muhammadiyah sinergi bangun jabar
2023-02-16,Ormas Saja,Negative,tampang 3 anggota ormas bandung siksa-lakban odgj
2025-02-06,Ormas Saja,Negative,3 keroyok anggota tni pancur batu serah
2023-06-21,Ormas Saja,Negative,markas ormas sukabumi duga bakar polisi turun tangan
2024-07-19,Ormas Saja,Negative,mui ajak masyarakat boikot israel olimpiade paris 2024
2022-04-19,Ormas Saja,Neutral,banser wanita jaga misa jumat agung gereja katedral jakarta
2025-02-03,Ormas Saja,Positive,umkm usul garap tambang menteri prabowo terobos
2024-11-02,Ormas Saja,Negative,anggota tni keroyok santai ngopi jaksel 1 laku tangkap
2024-06-10,Ormas Saja,Positive,kelola tambang sejahtera umat
2024-10-31,Ormas Saja,Neutral,fui ingub edar miras diy moga tebang pilih
2025-01-30,Ormas Saja,Negative,anggap olok partai gelora mardani pks lapor mkd dpr
2024-09-09,Ormas Saja,Neutral,anies 2 pilih pilpres pilkada
2024-09-27,Ormas Saja,Neutral,mahasiswa ulama seru netralitas tegak hukum pilkada banten
2023-01-30,Ormas Saja,Negative,demo bela al-qur an dubes belanda lalin rasuna said macet
2024-11-04,Ormas Saja,Neutral,gelar rakornas ikadi dukung asta cita
2023-06-29,Ormas Saja,Negative,viral ormas tutup paksa rph ayam potong cakung polisi
2025-01-27,Ormas Saja,Neutral,bamsoet dorong kuat konsolidasi internal eksternal partai golkar
2022-03-22,Ormas Saja,Positive,ormas agama deklarasi milu damai
2025-01-14,Nahdlatul Ulama (NU),Neutral,mkgr undang prabowo-gibran acara hut 18 januari
2024-09-24,Ormas Saja,Negative,kronologi ricuh nomor urut pilkada palembang luka 2 orang
2024-08-30,Ormas Saja,Neutral,anies tutup bikin parpol
2024-07-30,Muhammadiyah,Positive,lapor jokowi bahlil janji muhammadiyah lahan tambang bagus
2024-08-20,Pemuda Pancasila (PP),Negative,eks kepala bappenas kritik bahlil menteri esdm
2024-07-29,Nahdlatul Ulama (NU),Positive,pbnu nilai lopor kelola tambang maslahat umat
2024-09-23,Ormas Saja,Positive,mui kerja pemkab banyuwangi maslahat umat
2023-01-30,Ormas Saja,Negative,massa demo ramai bakar bendera swedia-belanda
2025-01-22,Ormas Saja,Neutral,guru kelola tambang revisi uu minerba nilai pakar
2024-10-22,Ormas Saja,Neutral,kpk koordinasi prabowo nawawi undang istana
2024-11-27,Ormas Saja,Neutral,syarat daftar tugas media center haji 2025
2022-03-22,Ormas Saja,Neutral,100 ribu personel tni-polri apel aman milu
2024-07-27,Muhammadiyah,Negative,demo tolak izin tambang goyang rapat konsolidasi muhammadiyah jogja
2024-07-31,Muhammadiyah,Positive,din syamsuddin muhammadiyah kelola tambang
2023-06-29,Ormas Islam,Positive,prabowo salur puluh hewan kurban ponpes-ormas islam jatim
2024-06-10,Nahdlatul Ulama (NU),Neutral,bahlil nu terima tawar garap tambang
2025-03-20,Ormas Saja,Neutral,860 personel siaga aman libur lebaran kota batu
2023-01-30,Ormas Saja,Negative,massa aksi 301 bela al-quran ancam bawa massa
2025-03-19,Ormas Saja,Neutral,safari ramadan kapolri silaturahmi tokoh ulama jateng
2025-03-19,Ormas Saja,Negative,pentol brigez tangkap kait keroyok maut jukir bandung
2022-03-16,Ormas Saja,Negative,ormas agama kecam aksi teror masjid selandia
2024-06-11,Nahdlatul Ulama (NU),Neutral,ketua komisi viii dpr nu-muhammadiyah serampang kelola tambang
2025-03-18,Ormas Saja,Neutral,warga semarang titip kendara kantor polisi mudik syarat
2024-11-21,Nahdlatul Ulama (NU),Positive,bantu atr bpn pwnu jatim tertib administrasi aset
2024-08-31,Ormas Saja,Neutral,nyata lengkap anies batal maju pilkada buka peluang bikin partai
2023-06-30,Ormas Islam,Negative,waket mpr dorong ormas islam gugat putus nikah beda agama ma
2024-09-14,Ormas Saja,Negative,joman nilai nyata ketua kpk jokowi sesat
2023-01-30,Ormas Saja,Negative,massa aksi bela al-qur an tuntut perintah usir dubes swedia-belanda
2025-01-01,Ormas Saja,Negative,nama masuk tokoh korup versi occrp respons jokowi
2025-03-21,Ormas Saja,Neutral,refleksi supremasi sipil
2024-09-10,Muhammadiyah,Neutral,pwm warga muhammadiyah golput pilkada jakarta
2022-03-03,Ormas Saja,Positive,baksos deklarasi ormas kabupaten bogor
2025-01-08,Ormas Saja,Negative,diviralkan sembunyi wanita kantor camat asemrowo lapor polisi
2024-10-18,Ormas Saja,Negative,jokowi rusak akar pohon tanggap ulil abshar-abdalla
2024-06-03,Nahdlatul Ulama (NU),Neutral,pbnu muhammadiyah pgi jokowi izin kelola tambang
2023-06-29,Ormas Islam,Positive,prabowo salur ratus hewan kurban ponpes ormas islam jatim
2024-08-02,Ormas Saja,Positive,dubes iran salat gaib istiqlal haniyeh wakaf umur palestina
2024-12-31,Nahdlatul Ulama (NU),Negative,oknum aparat desa karawang edar sabu malam
2022-11-30,Ormas Saja,Negative,tenda ungsi gempa cianjur bocor label copot ormas
2022-02-22,Forum Betawi Rempug (FBR),Positive,dukung fbr jokowi periode
2024-10-09,Gerakan Rakyat Indonesia Bersatu (GRIB),Negative,ketua grib labuhanbatu big boss narkoba tangkap gegara bakar rumah wartawan
2024-09-02,Ormas Saja,Neutral,golkar dukung wacana anies bikin parpol kuasa
2025-03-17,Ormas Saja,Negative,polisi tangkap 1 anggota geng motor keroyok jukir tewas bandung
2024-06-08,Ormas Saja,Neutral,phdi ajar kelola tambang timbang manfaat mudarat
2025-03-27,Ormas Saja,Positive,kisah budak makan anjing thr ormas
2024-11-04,Front Pembela Islam (FPI),Neutral,polisi siaga 1 904 personel kawal reuni 411 fpi dkk
2022-11-27,Ormas Saja,Negative,polisi periksa ormas copot stiker gereja bantu cianjur
2023-06-30,Ormas Saja,Positive,prabowo salur puluh sapi kurban ponpes-ormas agama jabar
2024-08-19,Nahdlatul Ulama (NU),Positive,bahlil izin tambang pbnu rampung muhammadiyah nyusul
2025-03-03,Nahdlatul Ulama (NU),Neutral,catat lur jadwal giat ramadan masjid agung jateng an-nuur magelang
2022-02-10,Laskar Merah Putih,Positive,laskar merah putih dukung jokowi-ma ruf
2024-07-27,Nahdlatul Ulama (NU),Neutral,susul nu muhammadiyah terima tawar izin tambang langkah
2024-10-05,Ormas Saja,Neutral,gerindra kota eks wali kota transparan dana hibah
2025-03-02,Ormas Saja,Negative,mantan bupati kepahiang peras 3 pria tuduh selingkuh istri laku
2023-06-28,Ormas Saja,Negative,ormas libat bentrok jakut buka suara tuju masuk lahan
2024-06-20,Nahdlatul Ulama (NU),Neutral,bocor menteri esdm kado tambang nu
2025-02-28,Ormas Saja,Neutral,perintah resmi 1 ramadan 1446 h jatuh sabtu 1 maret 2025
2025-02-28,Ormas Saja,Neutral,menag nasaruddin umar pimpin sidang isbat 1 ramadan 1446 h
2022-10-31,Ormas Saja,Negative,momen bobby singgung ormas loreng oranye suka malak umkm
2024-07-11,Ormas Saja,Negative,duga keroyok dukung syl sidang vonis wartawan lapor polisi
2025-02-28,Ormas Saja,Neutral,hilal lihat bal puasa ramadan tunggu sidang isbat
2025-02-28,Ormas Saja,Neutral,sidang isbat 1 ramadan 1446 h
2022-01-22,Ormas Saja,Neutral,jokowi terima ormas lpoi istana
2025-02-28,Ormas Saja,Neutral,seminar sidang isbat ramadan 2025 1446 h gelar posisi hilal
2024-07-11,Ormas Saja,Negative,wartawan lapor polisi duga keroyok dukung syl sidang vonis
2024-06-05,Ormas Saja,Neutral,kwi aju izin kelola tambang wilayah
2025-03-17,Ormas Saja,Neutral,parkir kota bandung sumber solusi macet
2022-10-17,Ormas Saja,Positive,ormas sambut bebas umar kei lapas cipinang
2025-02-26,Ormas Saja,Negative,psu pilkada gelar 24 daerah perludem kritik cermat sdm kpu
2025-02-25,Ormas Saja,Neutral,jam kerja asn ramadan 2025 cek atur
2023-06-27,Ormas Saja,Negative,5 fakta bentrok ormas jakarta utara jatuh korban luka
2022-01-05,MKGR,Positive,ormas mkgr gelar ziarah tmp kalibata
2025-03-13,Ormas Saja,Neutral,mkd periksa lapor mardani pks kait olok partai gelora
2025-03-13,Ormas Saja,Positive,strategi bri bo pahlawan surabaya dorong transaksi gaet nasabah
2025-01-23,Ormas Saja,Negative,jabar babak cuci uang panji gumilang
2025-04-11,Ormas Saja,Negative,kuasa hukum satpam rs intimidasi korban 2 kali koma
2025-02-17,Ormas Saja,Neutral,baleg dpr ruu minerba bawa paripurna dpr besok
2025-02-17,Ormas Saja,Positive,nasdem paloh kado lukis prabowo hut gerindra
2024-09-25,Nahdlatul Ulama (NU),Negative,tusuk nomor urut pilkada palembang picu dendam pribadi
2022-10-17,Ormas Saja,Negative,ribut ormas batak ruang sidang ferdy sambo
2024-12-02,Ormas Saja,Negative,jaring ott kpk risnandar 6 jabat pj walkot pekanbaru
2023-06-26,Ormas Saja,Negative,polisi bentrok ormas jakut ujung 2 orang luka
2025-02-27,Muhammadiyah,Neutral,1 ramadan 2025 versi perintah muhammadiyah jadwal libur puasa
2018-12-28,Ormas Islam,Neutral,solidaritas muslim uighur ormas islam surabaya geruduk konjen china
2024-10-18,Ormas Saja,Positive,golkar undang prabowo jokowi puncak hut ke-60 12 desember
2025-02-28,Muhammadiyah,Neutral,1 ramadan potensi beda perintah muhammadiyah pakar
2025-02-28,Nahdlatul Ulama (NU),Positive,potensi puasa 2025 beda pbnu harap hormat
2025-02-28,Ormas Saja,Neutral,puasa ramadhan 2025 catat jadwal sidang isbat
2025-02-11,Ormas Saja,Neutral,puasa ramadan 2025 tanggal simak info sidang isbat
2024-06-03,Nahdlatul Ulama (NU),Positive,tum pbnu terima kasih jokowi izin kelola tambang sdm
2025-02-11,Ormas Saja,Neutral,jadwal sidang isbat puasa ramadan 2025 tahap
2022-09-20,Ormas Saja,Positive,temu anies 68 pimpin ormas silaturahmi bahas kerja
2025-02-27,Ormas Saja,Neutral,sidang isbat ramadhan 2025 cek jadwal tahap
2024-10-16,Ormas Saja,Positive,pemkab klaten salur dana hibah rp 2 145 m puluh terima
2018-12-26,Ormas Saja,Negative,foto putar jl juanda depok personel brimob keroyok ormas
2024-10-22,Ormas Saja,Neutral,santri pilih tanggal 22 oktober sejarah
2024-06-10,Nahdlatul Ulama (NU),Neutral,nu cs kelola tambang bekas bakrie boy thohir
2024-09-12,Ormas Saja,Positive,hipakad gelar donor darah hut ri ratus warga
2024-07-11,Ormas Saja,Negative,ricuh sidang vonis syl wartawan kena tendang
2025-02-06,Ormas Saja,Neutral,gin zakat fitrah 2025 majalengka
2024-09-10,Ormas Saja,Neutral,mudik solo gibran rakabuming blusukan bareng cawalkot
2025-02-22,Ormas Saja,Neutral,puasa ramadhan 2025 cek hitung mundur
2022-09-17,Ormas Saja,Positive,komunitas 234 sc gelar munas perdana ubah status ormas
2024-12-03,Ormas Saja,Negative,rekam jejak risnanda mahiwa pj walkot pekanbaru kena ott kpk
2024-12-03,Ormas Saja,Negative,wamendagri rekam jejak pj walkot pekanbaru kena ott kpk
2024-08-07,Nahdlatul Ulama (NU),Neutral,jazilul tikai pkb-pbnu hubung
2018-11-15,Ormas Saja,Positive,pelangi bangsa agung laksono deklarasi dukung jokowi
2024-06-06,Ormas Saja,Neutral,pgi kelola tambang mandat
2025-01-31,Ormas Saja,Negative,massa demo tolak indomaret barru khawatir omzet dagang turun
2024-11-28,Ormas Saja,Positive,sugiri sancoko klaim menang pilbup milik rakyat ponorogo
2024-05-23,Ormas Saja,Negative,bubar diskusi pwf bikin navicula emoh manggung world water forum
2025-03-22,Ormas Saja,Positive,sidang isbat 1 syawal gelar 29 maret menag lebaran potensi bareng
2022-09-14,Ormas Saja,Negative,effendi simbolon maksud tni gerombol ormas
2025-01-30,Ormas Saja,Positive,kaji sistem ketatanegaraan k3 mpr libat masyarakat-pakar
2025-03-21,Ormas Saja,Neutral,kemenag prediksi idul fitri jatuh 31 maret 2025 alas
2024-06-19,Nahdlatul Ulama (NU),Positive,menteri esdm nu jatah tambang
2018-11-05,Ormas Saja,Negative,anggap kampanye lgbt calum scott tolak pekanbaru
2024-08-07,Nahdlatul Ulama (NU),Neutral,jazilul tikai pkb pbnu hubung
2025-03-21,Ormas Saja,Negative,beda sikap jago cikiwul garang malak pasrah tangkap
2024-09-10,Ormas Saja,Negative,aniaya kades boyolali tangkap motif gegara beda jago pilkada
2025-01-31,Ormas Saja,Negative,deret fakta duga keroyok anggota tni deli serdang
2024-07-29,Muhammadiyah,Negative,pakar ugm kritik keras muhammadiyah tambang mudarat
2025-01-23,Ormas Saja,Neutral,kemendiktisaintek ruu minerba bahas rapat komisi x dpr
2025-01-23,Ormas Saja,Neutral,usul guru kelola tambang pimpin dpr
2022-09-14,Ormas Saja,Negative,deret kecam buntut effendi simbolon tni gerombol
2024-08-30,Ormas Saja,Neutral,peluang bikin parpol anies tempuh
2024-11-20,Ormas Saja,Neutral,lebaran 2025 tanggal
2024-07-27,Muhammadiyah,Negative,rapat muhammadiyah bahas tambang warna aksi demo-bakar kta
2018-10-24,Ormas Saja,Negative,buntut bakar bendera tauhid mui dki gelar deklarasi damai
2025-02-07,Nahdlatul Ulama (NU),Neutral,8 syaban 22 tuju puasa ramadhan 2025
2024-09-04,Ormas Saja,Negative,adzan maghrib ganti running text misa paus bahas dpr
2024-07-27,Muhammadiyah,Neutral,muhammadiyah tawar garap tambang
2024-07-26,Pemuda Pancasila (PP),Neutral,alas pp muhammadiyah terima tawar izin tambang
2024-09-02,Ormas Saja,Neutral,pkb sodor kader ketua tim danny-azhar deng ical-fauzi wawo
2025-01-18,MKGR,Positive,mkgr dukung program perintah prabowo-gibran
2025-01-18,MKGR,Positive,ahok respons isu gibran gabung mkgr bagus partai
2022-07-27,Ormas Saja,Neutral,polisi-ormas jambi siaga jaga makam brigadir j
2024-07-29,Muhammadiyah,Positive,janji bahlil muhammadiyah lahan tambang bagus
2025-03-25,Ormas Saja,Negative,polisi pria thr ketupat tukang cukur kondisi mabuk
2024-07-29,Muhammadiyah,Positive,bahlil janji kasih lahan tambang bagus muhammadiyah
2018-09-13,Ormas Saja,Neutral,urus dpd perempuan peduli adil resmi lantik
2025-01-17,Ormas Saja,Negative,reaksi gus mensos mbg pakai dana zakat nggak orang
2025-01-17,MKGR,Neutral,adies kadir bilang suka kejut gibran gabung mkgr besok
2025-01-17,MKGR,Neutral,kursi jokowi undang hut mkgr
2025-03-24,Ormas Saja,Neutral,sidang isbat 1 syawal gelar 29 maret tanggal lebaran 2025
2022-07-21,Ormas Saja,Neutral,ormas pemuda batak jaga makam brigadir j
2025-03-17,Ormas Saja,Neutral,skb 3 menteri cuti 2025 lebaran idul fitri lengkap
2024-08-25,Ormas Saja,Neutral,nahdlatul wathan dukung iqbal-dinda pilgub ntb 2024
2025-03-19,Ormas Saja,Positive,polda jateng aman rumah tinggal mudik telepon 110
2018-08-25,Ormas Saja,Negative,suasana demo tolak ratna sarumpaet-rocky gerung bandara babel
2025-01-15,Ormas Saja,Negative,imbas markas pemuda pancasila jabar serang 12 orang luka
2024-09-26,Ormas Saja,Negative,aset wakaf ri tembus rp 2 050 triliun mayoritas produktif
2025-01-15,Pemuda Pancasila (PP),Negative,12 orang korban markas pp jabar serang
2025-01-15,Pemuda Pancasila (PP),Negative,markas serang pp jabar lapor grib polrestabes bandung
2025-01-15,Ormas Saja,Negative,markas pemuda pancasila jabar serang 12 orang luka
2022-07-14,Ormas Saja,Negative,gegara salah paham 2 ormas libat bentrok bekas
2025-01-15,Ormas Saja,Neutral,mendikdasmen tk slb kelola warga banding perintah
2018-08-19,Ormas Saja,Neutral,aktivis tanding catur
2024-06-26,Nahdlatul Ulama (NU),Neutral,garap tambang pbnu bikin pt
2025-01-31,Ormas Saja,Negative,nyata mardani pks adu simpatisan gelora mkd dpr
2025-01-14,Ormas Saja,Negative,dprd rekomendasi pj bupati busel copot duga aniaya mahasiswa
2024-11-13,Ormas Saja,Negative,massa geruduk dprd jogja desak perda miras kedaluwarsa revisi
2024-06-07,Nahdlatul Ulama (NU),Negative,nu izin tambang dukung prabowo respons bahlil
2024-09-25,Ormas Saja,Negative,polisi kena tusuk lerai ricuh nomor urut pilkada palembang
2024-07-24,Ormas Saja,Negative,duduk perkara pemuda pancasila intimidasi wali murid lapor pungli
2022-06-28,Ormas Saja,Negative,kontroversi promo holywings digeruduk ormas izin usaha dki cabut
2024-08-29,Ormas Saja,Negative,mui layang surat jokowi kepala bpip henti
2025-03-13,Ormas Saja,Positive,wawalkot adhitia rayu investor bangun mall cimahi
2025-01-13,Ormas Saja,Positive,kelola warga ngonten taman literasi
2018-05-14,Ormas Saja,Negative,lpoi kutuk aksi teroris surabaya
2024-06-12,Ormas Saja,Neutral,bahlil izin garap tambang
2024-06-10,Ormas Saja,Negative,hkbp tolak libat kelola tambang perintah
2024-06-11,Ormas Saja,Neutral,bahlil timbang kasih prioritas izin tambang organisasi adat
2024-05-22,Ormas Saja,Negative,bakesbangpol bal aksi pgn bubar diskusi people s water forum
2025-01-10,Ormas Saja,Positive,waketum pan selamat pram-rano titip jakarta urus profesional
2025-04-09,Ormas Saja,Negative,usaha lindung perintah dampak tarif trump
2024-08-23,Ormas Saja,Negative,raja puri tolak apel 15 000 banser bal
2022-06-16,Ormas Saja,Negative,polisi khilafatul muslimin pancasila tahan
2025-01-21,Ormas Saja,Neutral,revisi uu minerba guru izin tambang
2025-01-05,Ormas Saja,Neutral,budi arie koperasi salur pupuk subsidi
2025-03-04,Ormas Saja,Neutral,jadwal lengkap cuti idul fitri 2025 dasar skb 3 menteri
2018-03-22,Ormas Saja,Positive,anggota pemuda pancasila rangkul bpjs tk
2025-03-04,Ormas Saja,Neutral,skb 3 menteri libur cuti 2025 idul fitri
2025-03-04,Ormas Saja,Neutral,skb 3 menteri cuti 2025 lebaran idul fitri
2024-07-03,Ormas Saja,Negative,tni ad buka suara duga anggota libat bakar rumah wartawan
2024-09-16,Ormas Saja,Neutral,istana koordinasi kpk via menko polhukam salah persepsi
2024-09-16,Ormas Saja,Positive,istana jokowi buka temu masuk pimpin kpk
2023-06-12,Ormas Saja,Negative,ormas paksa sumbang usaha hukum
2024-08-20,Nahdlatul Ulama (NU),Positive,bahlil jamin urus tambang pbnu muhammadiyah freeport lancar
2022-06-07,Ormas Saja,Negative,sangka pimpin khilafatul muslimin ancam 20 penjara
2025-02-28,Ormas Saja,Neutral,perintah 1 ramadan 1446 h 1 maret 2025
2025-02-28,Ormas Saja,Neutral,bmkg alas hilal bal 3 75 derajat
2025-02-28,Ormas Saja,Neutral,hasil sidang isbat 1 ramadan 1446 h 1 maret 2025
2018-03-09,Ormas Islam,Negative,ormas islam polri usut tuntas aktor sebar hoax
2025-02-28,Ormas Saja,Neutral,hasil sidang isbat perintah 1 ramadan 1446 hijriah 1 maret 2025
2025-02-28,Ormas Saja,Neutral,hilal lihat tanjung kodok lamongan
2024-07-12,Ormas Saja,Negative,ribut vonis syl bikin pagar ruang sidang cabut
2025-02-28,Ormas Saja,Neutral,sidang isbat ramadan 2025 jadwal susun acara
2025-02-28,Ormas Saja,Neutral,puasa ramadhan 2025 cek jadwal-live sidang isbat
2025-01-16,Nahdlatul Ulama (NU),Neutral,muhammadiyah pbnu usul dana zakat makan gizi gratis
2025-02-27,Ormas Saja,Negative,jelang ramadan mui umat kuat boikot produk afiliasi israel
2022-06-06,Ormas Saja,Negative,viral ormas vs mata elang purwakarta gegara ampas motor
2024-12-31,Ormas Saja,Neutral,polda metro peta titik rawan-awasi edar petas malam
2024-07-06,Ormas Saja,Negative,viral bendera bintang kejora kibar asrama mahasiswa papua makassar
2025-02-26,Ormas Saja,Neutral,lokasi pantau hilal puasa ramadan 2025 bal
2018-03-07,Ormas Saja,Negative,foto polemik cadar ormas-ormas uin kalijaga
2025-02-26,Ormas Saja,Neutral,kemenag bal pantau hilal 1 syawal nyepi
2025-02-26,Ormas Saja,Neutral,sidang isbat ramadhan 2025 gelar jumat 28 februari
2025-01-13,Ormas Saja,Negative,tingkat aman taman literasi pungli
2024-10-28,Ormas Saja,Negative,tipu lunas pinjam bank blitar negara rugi rp 2 2 m
2025-02-21,Ormas Saja,Neutral,menkop budi arie jenis koperasi kelola tambang
2024-09-08,Ormas Saja,Negative,polda jatim bantah periksa thoriqul haq unsur politis
2025-02-20,Ormas Saja,Negative,mui boikot produk afiliasi israel jelang ramadan
2022-06-06,Ormas Saja,Negative,junimart respons projo hadir kib ormas
2025-02-20,Ormas Saja,Positive,cetak generasi ahli falak kemenag buka kursus hisab rukyat gratis
2025-02-19,Ormas Saja,Negative,viral dagang es teh ciledug peras gerobak acak
2025-02-19,Nahdlatul Ulama (NU),Neutral,bpkh temu tum pbnu dukung revisi uu uang haji
2018-03-02,Front Pembela Islam (FPI),Negative,fpi alumni 212 turun demo partai pbb
2024-06-10,Ormas Saja,Negative,pgi kwi buka ogah kelola tambang alas
2025-02-18,Ormas Saja,Neutral,atur laku perintah ambil alih lahan sengketa tambang
2025-02-17,Ormas Saja,Negative,tradisi gunung tempe sidoarjo evaluasi insiden copet massal
2024-08-05,Ormas Saja,Negative,anggota geng motor medan serang-keroyok personel tni 1 laku tangkap
2024-10-22,Ormas Saja,Neutral,menteri yandri kumpul kades ponpes serang haul tani istri
2024-12-20,Ormas Saja,Negative,cegah teror kapolri jajar sterilisasi ibadah jelang natal
2025-01-04,Nahdlatul Ulama (NU),Neutral,lihat candi borobudur menara masjid agung an-nuur magelang
2022-02-10,Nahdlatul Ulama (NU),Negative,ribut jatah preman 5 oknum ormas garut tangkap
2024-06-10,Ormas Saja,Negative,hkbp enggan libat gereja tambang
2024-06-08,Nahdlatul Ulama (NU),Positive,anggota komisi vii dpr nilai nu kelola tambang
2024-09-03,Ormas Saja,Neutral,urus ldii hadap jokowi istana negara lapor hasil rakernas
2018-01-12,Front Pembela Islam (FPI),Negative,tuntut fpi kantor facebook
2024-08-03,Ormas Saja,Positive,jelang hut ri ke-79 hipakad warga rajut damai
2024-08-02,Ormas Saja,Positive,ampi simulasi program makan gizi gratis harga rp 14 900
2025-02-12,Ormas Saja,Positive,bpkh kerja mui tingkat ekonomi umat-optimalisasi uang haji
2024-09-29,Ormas Saja,Neutral,3 syarat menteri kabinet prabowo-gibran versi jubir
2024-08-07,Ormas Saja,Negative,panitia aji hadir kh imaduddin gresik polisi
2024-09-28,Ormas Saja,Negative,6 simpatisan fadia-sukirman lapor polisi buntut perang batu kpu kalong
2024-07-02,Ormas Saja,Negative,kkj temu janggal bakar tewas wartawan keluarga karo
2022-01-31,GMBI,Negative,tampang lesu anggota ormas gmbi baju tahan mapolda jabar
2024-07-05,Ormas Saja,Negative,heboh bendera bintang kejora kibar asrama mahasiswa papua makassar
2025-02-10,Ormas Saja,Positive,rakernas ampi harap program rancang kokoh golkar
2024-12-31,Ormas Saja,Neutral,ketua komisi xi dpr dana csr bank indonesia langsung salur yayasan
2018-01-12,Front Pembela Islam (FPI),Negative,foto massa fpi cari kantor facebook
2024-09-27,Ormas Saja,Negative,sosok pasutri tewas peluk denpasar mata warga
2024-10-16,Ormas Saja,Negative,polemik kuliner malam cut nyak dien pj wako pemkot pekanbaru ambil alih
2024-08-05,Ormas Saja,Negative,kondisi anggota tni diserang-dibacok geng motor medan
2024-08-30,Ormas Saja,Negative,potensi wakaf ri garap rp 2 5 t solusi bwi
2024-06-04,Ormas Saja,Negative,dishub ketat awas event buntut parkir liar rp 25 ribu jis
2024-07-30,Pemuda Pancasila (PP),Neutral,alas pp persis terima kelola tambang contoh
2024-04-19,Ormas Saja,Negative,bentrok antarormas pecah bandung 1 orang tewas
2022-01-12,Ormas Saja,Negative,deret fakta bentrok warga vs debt collector cisarua
